Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7001","January","%","2.145662","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7002","February","%","1.735016","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7003","March","%","2.843244","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7004","April","%","3.645907","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7005","May","%","4.215267","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7006","June","%","3.930916","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7007","July","%","2.829648","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7008","August","%","3.532494","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7009","September","%","4.748605","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7010","October","%","5.057903","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7011","November","%","4.445688","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2001","2001","23014","Food price inflation","7012","December","%","4.622481","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7001","January","%","4.682941","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7002","February","%","3.307404","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7003","March","%","2.616275","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7004","April","%","1.832206","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7005","May","%","0.765562","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7006","June","%","-0.096058","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7007","July","%","0.193617","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7008","August","%","0.971807","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7009","September","%","0.28902","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7010","October","%","0.76703","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7011","November","%","0.961528","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2002","2002","23014","Food price inflation","7012","December","%","0.47802","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7001","January","%","-0.093206","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7002","February","%","0.282475","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7003","March","%","1.322018","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7004","April","%","1.32576","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7005","May","%","1.614426","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7006","June","%","2.307685","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7007","July","%","2.318833","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7008","August","%","2.021178","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7009","September","%","2.209411","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7010","October","%","1.998087","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7011","November","%","3.142858","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2003","2003","23014","Food price inflation","7012","December","%","2.854408","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7001","January","%","2.238799","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7002","February","%","2.347421","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7003","March","%","1.863927","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7004","April","%","1.962621","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7005","May","%","2.336452","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7006","June","%","3.007509","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7007","July","%","2.832859","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7008","August","%","2.169808","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7009","September","%","1.221797","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7010","October","%","0.93284","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7011","November","%","0.277011","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2004","2004","23014","Food price inflation","7012","December","%","1.850147","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2005","2005","23014","Food price inflation","7001","January","%","1.094887","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2005","2005","23014","Food price inflation","7002","February","%","2.774029","E","Estimated value",""
"CP","Consumer Price Indices","040","Austria","2005","2005","23014","Food price inflation","7003","March","%","3.000831","E","Estimated value",""
