Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1991","1991","1000 SLC","5530110","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1992","1992","1000 SLC","5385821","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1993","1993","1000 SLC","5290676","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1994","1994","1000 SLC","5186657","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1995","1995","1000 SLC","3810732","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1996","1996","1000 SLC","3877910","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1997","1997","1000 SLC","3993270","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1998","1998","1000 SLC","3870712","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","1999","1999","1000 SLC","3834698","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2000","2000","1000 SLC","3971895","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2001","2001","1000 SLC","4282008","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2002","2002","1000 SLC","4116499","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2003","2003","1000 SLC","4182716","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2004","2004","1000 SLC","4110609","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2005","2005","1000 SLC","3970311","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2006","2006","1000 SLC","4264981","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2007","2007","1000 SLC","4970125","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2008","2008","1000 SLC","5141368","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2009","2009","1000 SLC","4496496","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2010","2010","1000 SLC","4790544","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2011","2011","1000 SLC","5430196","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2012","2012","1000 SLC","5553397","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","56","Gross Production Value (current thousand SLC)","F2051","Agriculture","2013","2013","1000 SLC","5449116","E","Estimated value"
