Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1961","1961","°C","1.031","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.624","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1963","1963","°C","-0.729","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.371","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.884","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.603","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1967","1967","°C","0.678","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1968","1968","°C","0.214","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.123","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1970","1970","°C","-0.549","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.058","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1972","1972","°C","0.108","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1973","1973","°C","-0.031","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1974","1974","°C","0.316","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1975","1975","°C","0.862","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1976","1976","°C","0.216","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.5","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1978","1978","°C","-0.474","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1979","1979","°C","-0.11","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1980","1980","°C","-0.272","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.279","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.389","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1983","1983","°C","1.068","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1984","1984","°C","-0.242","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.56","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.325","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1987","1987","°C","-0.256","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.827","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1989","1989","°C","1.11","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1990","1990","°C","1.268","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.13","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1992","1992","°C","1.25","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.529","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1994","1994","°C","1.962","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.943","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1996","1996","°C","-0.198","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.517","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.347","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.985","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2000","2000","°C","1.768","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2001","2001","°C","1.504","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2002","2002","°C","1.539","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2003","2003","°C","1.473","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.839","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.638","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.921","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2007","2007","°C","2.15","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2008","2008","°C","1.593","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.552","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.662","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2011","2011","°C","1.381","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.791","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.103","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2014","2014","°C","2.427","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2015","2015","°C","2.183","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2016","2016","°C","2.111","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.753","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.535","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.369","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.32","E","Estimated value"
"ET","Temperature change","040","Austria","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.397","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2000","2000","°C","1.468","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2001","2001","°C","1.317","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2002","2002","°C","1.378","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2003","2003","°C","1.505","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2004","2004","°C","1.07","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.178","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2006","2006","°C","1.379","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.864","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2008","2008","°C","1.238","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.142","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.215","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2011","2011","°C","1.268","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.113","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.449","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2014","2014","°C","2.399","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.35","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.861","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.695","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2018","2018","°C","2.151","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2019","2019","°C","2.038","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2020","2020","°C","2.528","E","Estimated value"
"ET","Temperature change","056","Belgium","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.15","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.875","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.799","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1963","1963","°C","-1.168","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.214","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.765","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.477","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1967","1967","°C","0.676","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.022","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.014","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1970","1970","°C","-0.471","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.02","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.177","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.178","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1974","1974","°C","0.163","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1975","1975","°C","0.939","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1976","1976","°C","0.745","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.143","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1978","1978","°C","-0.278","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1979","1979","°C","-0.635","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1980","1980","°C","-0.048","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.191","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.507","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.836","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1984","1984","°C","-0.037","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.817","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1986","1986","°C","-0.134","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1987","1987","°C","-0.408","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.742","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1989","1989","°C","1.432","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1990","1990","°C","1.48","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.25","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1992","1992","°C","1.004","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.349","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1994","1994","°C","1.591","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1995","1995","°C","1.488","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1996","1996","°C","-0.512","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.666","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.012","E","Estimated value"
"ET","Temperature change","058","Belgium-Luxembourg","7271","Temperature change","7020","Meteorological year","1999","1999","°C","1.428","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.901","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1962","1962","°C","0.488","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1963","1963","°C","-0.249","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.532","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.456","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1966","1966","°C","1.151","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1967","1967","°C","0.029","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1968","1968","°C","0.419","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.484","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.202","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.144","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1972","1972","°C","0.133","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1973","1973","°C","-0.429","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.206","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1975","1975","°C","0.382","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.852","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.556","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1978","1978","°C","-0.725","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.156","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1980","1980","°C","-0.462","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1981","1981","°C","-0.061","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1982","1982","°C","-0.139","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.376","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1984","1984","°C","-0.031","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.615","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.345","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1987","1987","°C","-0.496","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.122","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.4","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.788","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1991","1991","°C","-0.162","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.139","E","Estimated value"
"ET","Temperature change","100","Bulgaria","7271","Temperature change","7020","Meteorological year","1993","1993","°C","-0.329","E","Estimated value"
