Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1970","1970","millions","1070.62459","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1971","1971","millions","1086.434178","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1972","1972","millions","1318.676804","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1973","1973","millions","1729.933786","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1974","1974","millions","1910.846322","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1975","1975","millions","2050.192904","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1976","1976","millions","2193.628859","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1977","1977","millions","2273.317597","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1978","1978","millions","2739.288048","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1979","1979","millions","3171.265494","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1980","1980","millions","3550.043812","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1981","1981","millions","2817.764745","X","Figure from international organizations",""
"MK","Macro Indicators","040","Austria","6110","Value US$","22016","Value Added (Agriculture, Forestry and Fishing)","1982","1982","millions","2598.632121","X","Figure from international organizations",""
